doctor,entity_type,patient_num,ranknet_score
fm_2,human,179,1.1988365650177002
fm_2,human,182,-1.848306655883789
fm_2,human,183,0.14289610087871552
fm_2,human,185,0.8670910596847534
fm_2,human,186,-1.2959587574005127
fm_2,human,193,0.2593138515949249
fm_2,human,194,-1.8411622047424316
fm_2,human,197,0.05209114030003548
fm_2,human,199,1.3578646183013916
fm_2,human,200,-1.8861193656921387
fm_2,human,205,-0.9817603826522827
fm_2,human,209,0.8311750292778015
fm_2,human,210,-1.3849577903747559
fm_2,human,211,0.7378036379814148
fm_2,human,212,0.013872001320123672
fm_2,human,213,0.2922348976135254
fm_2,human,214,-0.5061172246932983
fm_2,human,216,1.1766767501831055
fm_2,human,219,-1.0440136194229126
fm_2,human,221,-1.435797095298767
fm_2,human,222,-1.9138129949569702
fm_2,human,224,-0.822869062423706
fm_2,human,228,0.4230209290981293
fm_2,human,229,-1.8256508111953735
fm_2,human,232,0.9608860015869141
fm_2,human,235,-0.9864373207092285
fm_2,human,236,0.9004266262054443
fm_2,human,238,-1.1770590543746948
fm_2,human,239,0.23350653052330017
fm_2,human,240,-1.1330671310424805
fm_2,human,245,-1.8924349546432495
fm_2,human,248,-1.9138777256011963
fm_2,human,249,-0.13594818115234375
fm_2,human,250,-0.9640529155731201
fm_2,human,251,-0.05586127191781998
fm_2,human,255,-0.16693435609340668
fm_2,human,257,-0.5361537933349609
fm_2,human,260,-0.8674054741859436
fm_2,human,261,-1.8298425674438477
fm_2,human,262,-0.9733109474182129
fm_2,human,265,-1.0724895000457764
fm_2,human,266,-1.8339545726776123
fm_2,human,267,-1.4123141765594482
fm_2,human,273,0.5988892912864685
fm_2,human,275,-1.5479648113250732
fm_2,human,276,0.823253333568573
fm_2,human,278,-1.6319254636764526
fm_2,human,279,-0.3313919007778168
fm_2,human,281,-0.266371488571167
fm_2,human,282,-0.6555180549621582
fm_2,human,286,-1.7791955471038818
fm_2,human,287,0.8823713064193726
fm_2,human,290,0.4245302081108093
fm_2,human,291,-0.38842540979385376
fm_2,human,292,-1.7963767051696777
fm_2,human,293,-0.8527040481567383
fm_2,human,295,0.5356385111808777
fm_2,human,297,0.41991379857063293
fm_2,human,299,-1.0145084857940674
fm_2,human,300,0.5934567451477051
fm_2,human,301,-1.8250041007995605
fm_2,human,303,-1.2924418449401855
fm_2,human,306,0.69464111328125
fm_2,human,307,0.055384356528520584
fm_2,human,308,-1.3230904340744019
fm_2,human,310,-1.8024978637695312
fm_2,human,311,-1.693281650543213
fm_2,human,312,0.03714865818619728
fm_2,human,313,0.6124029755592346
fm_2,human,315,0.3359730541706085
fm_2,human,317,0.6803209781646729
fm_2,human,319,-1.1681864261627197
fm_2,human,320,-1.0141780376434326
fm_2,human,322,0.6079868078231812
fm_2,human,324,-1.200385332107544
fm_2,human,327,-1.2875912189483643
fm_2,human,328,0.45495638251304626
fm_2,human,329,0.8850585222244263
fm_2,human,330,-0.34491994976997375
fm_2,human,332,-1.912367582321167
fm_2,human,333,-0.266371488571167
fm_2,human,334,-1.4810500144958496
fm_2,human,335,-0.942487359046936
fm_2,human,337,0.49876347184181213
fm_2,human,339,-0.04797767102718353
fm_2,human,343,0.9653277397155762
fm_2,human,345,-1.312304973602295
fm_2,human,347,-1.8442034721374512
fm_2,human,351,-1.0576305389404297
fm_2,human,352,-1.4100756645202637
fm_2,human,353,-1.3744940757751465
fm_2,human,355,0.8470166921615601
fm_2,human,356,-1.8871870040893555
fm_2,human,358,0.7788640260696411
fm_2,human,360,-1.9159748554229736
fm_2,human,361,-1.3437654972076416
fm_2,human,362,-1.4068553447723389
fm_2,human,363,1.1207139492034912
fm_2,human,364,-0.3904223144054413
fm_2,human,366,0.50834721326828
fm_2,human,368,0.9840437173843384
fm_2,human,369,-1.4615072011947632
fm_2,human,371,1.2822297811508179
fm_2,human,372,-1.3528509140014648
fm_2,human,376,-1.819612741470337
fm_2,human,378,1.057416558265686
fm_2,human,381,-0.6434608101844788
fm_2,human,382,-0.6217660903930664
fm_2,human,383,-0.5526168942451477
fm_2,human,389,0.5483446717262268
fm_2,human,391,-1.484100341796875
fm_2,human,394,-1.3456552028656006
fm_2,human,395,-1.1047314405441284
fm_2,human,397,-1.9071178436279297
fm_2,human,399,-0.16047944128513336
fm_2,human,405,0.8200044631958008
fm_2,human,406,0.69687819480896
fm_2,human,409,-0.27872079610824585
fm_2,human,410,1.0000011920928955
fm_2,human,412,-1.5767168998718262
fm_2,human,413,-1.1327303647994995
fm_2,human,417,-0.24454979598522186
fm_2,human,418,-0.9974879622459412
fm_2,human,421,-1.2562087774276733
fm_2,human,423,0.6467444896697998
fm_2,human,424,1.093358039855957
fm_2,human,425,-1.2867392301559448
fm_2,human,426,0.3407619893550873
fm_2,human,427,-0.3931720554828644
fm_2,human,429,-1.0051639080047607
fm_2,human,430,-1.2530772686004639
fm_2,human,431,-1.670763373374939
fm_2,human,433,-0.3424893915653229
fm_2,human,434,-1.3607035875320435
fm_2,human,437,0.2806485593318939
fm_2,human,440,-1.3736834526062012
fm_2,human,441,1.0768375396728516
fm_2,human,443,-1.4335018396377563
fm_2,human,445,-0.7622748017311096
fm_2,human,446,-1.3607035875320435
fm_2,human,448,-0.10418546199798584
fm_2,human,449,-1.8213050365447998
fm_2,human,450,-1.8627738952636719
fm_2,human,451,0.8606200218200684
fm_2,human,452,-1.2893972396850586
fm_2,human,454,-1.3041744232177734
fm_2,human,457,1.0835330486297607
fm_2,human,458,-1.8706060647964478
fm_2,human,463,0.6326597332954407
fm_2,human,465,-1.4639778137207031
fm_2,human,466,1.081015706062317
fm_2,human,468,0.45495638251304626
fm_2,human,469,1.0127630233764648
fm_2,human,478,-1.3125553131103516
fm_2,human,479,-1.411585807800293
fm_2,human,480,0.511624813079834
fm_2,human,482,-1.6200478076934814
fm_2,human,483,-1.1759450435638428
